id	hisat_out.SRR941816.fastq.bam	hisat_out.SRR941817.fastq.bam	hisat_out.SRR941818.fastq.bam	hisat_out.SRR941819.fastq.bam
YJR119C	45.0903479165414	37.5584098817033	203.629115078182	156.919578379529
YJR120W	345.244007181876	471.626318371674	31.817049230966	37.7292975338758
YJR121W	7878.02407031393	15509.4770862931	1024.50898523711	1306.80566912788
YJR122W	268.523116697015	173.305234168431	104.996262462188	112.330408566767
YJR123W	2644.85175092549	5084.33560055744	27152.6698137064	27618.7032788319
YJR124C	9.42186374375491	20.3888510786389	591.797115695968	590.8065000191
YJR125C	794.801505812468	911.596262700199	229.082754462955	340.421161839743
YJR126C	792.109544742824	510.257825678569	305.443672617274	329.273869386552
YJR127C	172.285508457233	226.960105428007	146.358426462444	146.629769961199
YJR128W	2.69196106964426	3.75584098817033	0	0.857484034860813
YNCJ0030W	15.4787761504545	21.9984972164262	15.908524615483	16.2921966623555
YJR129C	84.1237834263832	104.626998956173	171.812065847216	89.1783396255246
YJR130C	454.268430502469	394.363303757885	238.627869232245	203.223716262013
YJR131W	181.707372200988	121.260009046642	124.086492000767	80.6034992769164
YJR132W	148.057858830434	160.428065066133	1209.04787077671	919.222885370792
YJR133W	260.447233488082	487.186231036951	203.629115078182	168.92435486758
