	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YJR073C	YJR073C	5522.39106768183	-4.00711341349287	0.394792320277319	-10.1499274623126	3.31609807088373e-24	1.56163769590033e-22
YPL231W	YPL231W	4928.89029040344	-4.09868883869742	0.404171053178646	-10.1409757241714	3.63450967334553e-24	1.68947009180832e-22
YDL060W	YDL060W	1256.58089026387	4.12285360881747	0.406594007127202	10.139976331544	3.67188536449983e-24	1.69340414014768e-22
YDR343C	YDR343C	1003.0675664007	-4.28893533074091	0.423394477581407	-10.1298801893708	4.0714800765777e-24	1.86302021941528e-22
YNL175C	YNL175C	920.767448562957	4.58441771527891	0.453826076710814	10.101706249463	5.42892713278057e-24	2.4649012571082e-22
YEL011W	YEL011W	3245.25765095832	-4.42436577235316	0.438423759233613	-10.0915282969317	6.02244671924215e-24	2.71334387958471e-22
YBR187W	YBR187W	833.741712491109	5.04067117870182	0.499567552500346	10.0900692078041	6.11264067795654e-24	2.71685877215777e-22
YDL014W	YDL014W	4117.21282598422	4.68452155930382	0.464278172215903	10.0899026481163	6.12302130655328e-24	2.71685877215777e-22
YGL029W	YGL029W	807.347459736326	5.14163847241388	0.509740865762214	10.0867692150316	6.32159502469269e-24	2.78387835034775e-22
YLR002C	YLR002C	494.873151731061	4.45324820216374	0.442209499034984	10.0704489882779	7.46365779771804e-24	3.26228684486825e-22
YPL126W	YPL126W	1225.16914423102	4.46315375891928	0.444091864514034	10.0500687257653	9.18033746024855e-24	3.98290640775376e-22
YGL157W	YGL157W	238.334775503174	5.40518335917469	0.538241142023973	10.0423080607501	9.93224926904912e-24	4.26630345129521e-22
YOL077C	YOL077C	1626.99130030643	4.531123688816	0.451224326421099	10.0418426567441	9.97923122464475e-24	4.26630345129521e-22
YNR054C	YNR054C	550.465576474914	4.25752570072356	0.424337367774409	10.0333508761052	1.08761585760484e-23	4.61606237535618e-22
YDL039C	YDL039C	374.302461970372	4.57994028382602	0.457326456107836	10.0145972809106	1.3149635286735e-23	5.54082114204368e-22
YLR333C	YLR333C	2604.21972114526	3.98715685960506	0.39829296070113	10.0106134253197	1.36901023115895e-23	5.72735208849856e-22
YPR110C	YPR110C	1394.12665707249	4.06188854278862	0.406277937878254	9.99780732372875	1.55808676693016e-23	6.47213772617726e-22
YDR496C	YDR496C	1261.4228027951	4.41922541471964	0.442055796686933	9.99698555666577	1.57106667302552e-23	6.48009683373978e-22
YIL104C	YIL104C	297.110906618703	4.63928612723963	0.464570149198489	9.98619075126475	1.75184900394017e-23	7.17523050075354e-22
YMR186W	YMR186W	8244.48916841158	-3.87494334432925	0.38932171058498	-9.95306256747642	2.44539487502029e-23	9.94630401596795e-22
YDR222W	YDR222W	941.026601129018	4.20834092612667	0.422906390745994	9.95099865647167	2.49665069979309e-23	1.00556129092373e-21
YLR051C	YLR051C	635.319345576464	4.1683566290128	0.418904942977513	9.95060263406	2.50660659851229e-23	1.00556129092373e-21
YOR047C	YOR047C	205.121899475626	5.16351978842893	0.520995157321814	9.91087866338741	3.73348140686056e-23	1.48755106122329e-21
YDR299W	YDR299W	998.363322504154	3.99869961637494	0.403767929479683	9.90346019191736	4.02116422654518e-23	1.5913485726267e-21
YLR174W	YLR174W	1448.08758626581	-4.43397468787806	0.44780967849155	-9.90147131882887	4.1019528337882e-23	1.61242535218104e-21
YHR021W-A	YHR021W-A	164.773022401178	6.13898187429109	0.620213588423652	9.89817377251288	4.23945575615848e-23	1.65536615758801e-21
YBR267W	YBR267W	569.001521034373	4.19952020768342	0.425957209614244	9.859018964573	6.26585901186601e-23	2.43040637301319e-21
YNR034W-A	YNR034W-A	8239.78010214651	-3.86904281486293	0.39304069137816	-9.84387342006878	7.285080126079e-23	2.80715225647662e-21
YKL024C	YKL024C	915.5761497666	4.26675397480863	0.433520725260288	9.84209918048749	7.41473299438813e-23	2.83843732994322e-21
YFR015C	YFR015C	887.268877108234	-4.20915852737998	0.427798661524558	-9.83911102568597	7.63827584432451e-23	2.90502478053303e-21
YJR070C	YJR070C	2609.70800510805	4.33519836097092	0.440678224336503	9.83755974667935	7.75694430522504e-23	2.91800706128551e-21
YDR171W	YDR171W	8891.67924354995	-4.09308278560313	0.41607516114069	-9.83736393776006	7.77205227182071e-23	2.91800706128551e-21
YNL077W	YNL077W	2129.91974179804	-3.96006276845934	0.402639678782015	-9.83525215507457	7.93685316746013e-23	2.96090121030662e-21
YNL123W	YNL123W	620.349608394601	4.33529073856821	0.441053239686968	9.82940458989743	8.41146005121023e-23	3.11809629873027e-21
YNL015W	YNL015W	3240.96300790667	-4.02551036102455	0.410478564421784	-9.80687107667861	1.05179358575606e-22	3.87443712690141e-21
YGR008C	YGR008C	3072.1997342978	-4.6606861339012	0.475391162100856	-9.80389730701897	1.08323627721651e-22	3.9653217972857e-21
YGR090W	YGR090W	655.864354932113	4.0800233080013	0.416480406448767	9.79643518596883	1.16629199353502e-22	4.24283987958671e-21
YPL240C	YPL240C	10675.8963768682	-4.10146397577032	0.419123229257725	-9.78581879852873	1.29542475840455e-22	4.68352025307126e-21
YBR155W	YBR155W	458.82321290199	4.17778955233039	0.429784612966892	9.72065873529126	2.46183640467995e-22	8.84599743693895e-21
YCL064C	YCL064C	1444.64705325401	-4.00896113299318	0.412477514979741	-9.71922344225255	2.49678332572701e-22	8.91686581633116e-21
YIL118W	YIL118W	640.451631627728	4.69146862345576	0.48305931175882	9.71199293596911	2.6804407033007e-22	9.5147522419589e-21
YOL010W	YOL010W	666.908823607715	4.16868280856451	0.429301959678994	9.71037451513522	2.72334607706538e-22	9.60881805624815e-21
YNL194C	YNL194C	2109.49767771789	-4.45221651936611	0.458678196691675	-9.70662340499019	2.82542141752562e-22	9.90927739068717e-21
YGR081C	YGR081C	442.119636219977	4.18238110064951	0.43116619819782	9.70015998037635	3.01026259806119e-22	1.04326083058251e-20
YLR304C	YLR304C	5988.76568260059	-3.98562982744241	0.410880727296828	-9.70021118698788	3.00875216878296e-22	1.04326083058251e-20
YCR057C	YCR057C	1014.04976360746	4.19238551482982	0.432909580321686	9.68420590672663	3.51932735826701e-22	1.21251178455117e-20
YNR016C	YNR016C	3125.89540979809	-3.85345100882311	0.398173916126308	-9.67780874827754	3.74659793023228e-22	1.2832645659281e-20
YOL016C	YOL016C	1512.10127847374	-4.04799629340218	0.418497541834301	-9.67268834043698	3.93892525887913e-22	1.34129565356134e-20
YIL155C	YIL155C	6249.97564566275	-4.54625613024995	0.47098304800101	-9.65269588692331	4.78801418606661e-22	1.62100572761804e-20
YMR229C	YMR229C	1931.56402535348	4.04466432352716	0.41928508200895	9.64657341050073	5.08256949527723e-22	1.71083962838153e-20
YDR324C	YDR324C	840.463320472773	4.12944309612906	0.428242416879417	9.64276992041125	5.2745146122548e-22	1.76530469051293e-20
YIL169C	YIL169C	2962.97399231537	-4.09852756438921	0.425068662161591	-9.64203652075189	5.31234256547823e-22	1.76786309125034e-20
YBR021W	YBR021W	790.112239067193	4.52097733505374	0.469382441747289	9.63175639511414	5.87171248491187e-22	1.94297288271914e-20
YBR247C	YBR247C	890.692865135034	3.9161102520477	0.408877565384872	9.57770879006655	9.92215813270357e-22	3.26483596535083e-20
YGL009C	YGL009C	5120.76485358311	4.96016397314867	0.519397550027874	9.54984091257742	1.29895601596535e-21	4.25027116508885e-20
YPL012W	YPL012W	1253.9313886947	4.26957422559035	0.447295250619137	9.54531535865962	1.35694124981065e-21	4.41533605563386e-20
YBR214W	YBR214W	1586.13350346281	-4.23531334138128	0.444137174017524	-9.53604784546626	1.48379439817559e-21	4.80142750835052e-20
YDL130W-A	YDL130W-A	1482.6122449664	-4.26285581317474	0.447397533724275	-9.52811647773161	1.60162658323782e-21	5.1542455483648e-20
YHR170W	YHR170W	1725.6178188268	3.8688502542146	0.406284836564804	9.52250713299143	1.6905045842381e-21	5.41053844255878e-20
YPL226W	YPL226W	2311.03333243406	4.22480508075996	0.443867601837369	9.51816501873887	1.76263875746996e-21	5.61074739266388e-20
YPL004C	YPL004C	3290.31987799541	-3.97577990559123	0.417748127283353	-9.51716990677139	1.77959442783612e-21	5.63409976423576e-20
YPL245W	YPL245W	404.143661281559	4.99565041490636	0.525507532892466	9.50633454749851	1.97499131912325e-21	6.21909900865853e-20
YLL008W	YLL008W	1388.17114003475	4.13287904184899	0.434903940918871	9.50296985839444	2.03987956917142e-21	6.38907734579518e-20
YER126C	YER126C	1730.90618112623	3.77048742318697	0.39686801371074	9.50060799290095	2.08668371237971e-21	6.50090771457869e-20
YDR399W	YDR399W	2788.02959405448	4.42865539211739	0.466667666233189	9.48995551344763	2.31132885569032e-21	7.16267360199906e-20
YGL225W	YGL225W	414.708464463617	4.55627184069583	0.481253566050294	9.46750769680462	2.8660010018547e-21	8.8348251936121e-20
YNL055C	YNL055C	7638.77587682302	-3.83659471574715	0.405429031149938	-9.46304882229384	2.99092669492773e-21	9.17165322104279e-20
YOR306C	YOR306C	593.803088977692	4.29671936600394	0.454837734178415	9.44670822829864	3.49653755250698e-21	1.06662606484549e-19
YGR157W	YGR157W	2078.52533269082	-3.87304838797788	0.410342625352609	-9.43857193643909	3.77894402844325e-21	1.14680182251773e-19
YIL091C	YIL091C	1006.34193627385	3.92441587984867	0.41621334943386	9.42885634299507	4.14584522511999e-21	1.24524181966809e-19
YDR216W	YDR216W	2156.76229858139	-3.89144137605501	0.412713717554913	-9.42891212608468	4.14364120692128e-21	1.24524181966809e-19
YDL208W	YDL208W	2017.01079839582	3.74989676446393	0.397951650164383	9.42299589137262	4.38397276136504e-21	1.3100473705773e-19
YLR223C	YLR223C	1189.04858268204	4.32218121883936	0.458986135438773	9.41680126069065	4.65039280656716e-21	1.38260663289664e-19
YBR149W	YBR149W	2475.39587134131	-3.87993481543429	0.412054981138761	-9.41606094582731	4.68328484214496e-21	1.38535350103248e-19
YOR294W	YOR294W	1315.66007576974	3.82997133377694	0.407572873097563	9.39702219303525	5.61290945714011e-21	1.65200053720953e-19
YKL182W	YKL182W	5412.15910905301	-3.9117575257626	0.416532257106129	-9.39124751811458	5.92937486767514e-21	1.7277785373121e-19
YLR411W	YLR411W	694.779493620999	-4.23284227671256	0.450721354744533	-9.39126187866498	5.92856639402519e-21	1.7277785373121e-19
YDR398W	YDR398W	1298.36756453248	4.67949086225706	0.498615439212536	9.38496984699748	6.29344460343667e-21	1.8247873783331e-19
YOR092W	YOR092W	723.220857555617	3.88586740731152	0.414109052962258	9.38368137454285	6.37085920483723e-21	1.8381341065385e-19
YOL155C	YOL155C	2049.99840079892	-3.92091854933851	0.417937336140491	-9.38159434509216	6.49825599284632e-21	1.86570026225985e-19
YLR063W	YLR063W	357.855890439158	4.29769563909207	0.458620207047469	9.37092516433154	7.18994993994581e-21	2.05422130723232e-19
YKL085W	YKL085W	2425.53524045338	-3.86572328653217	0.412730573329215	-9.36621499917011	7.51802620426915e-21	2.13752813001963e-19
YLR133W	YLR133W	453.504816939587	-4.33630520993551	0.463121952692655	-9.36320376247255	7.73548041857033e-21	2.18872989427857e-19
YKR099W	YKR099W	524.490708641881	4.07612154674228	0.435567919003612	9.35817669048412	8.11244972050815e-21	2.28435663524116e-19
YKL009W	YKL009W	2029.72556547998	3.96364862678826	0.424908744811844	9.32823500383222	1.07648515334102e-20	3.01673375268821e-19
